Epoch	ACC_Train	ACC_Val	ACC_Test_Seen	ACC_Test_Unseen	P_Train	P_Val	P_Test_Seen	P_Test_Unseen	R_Train	R_Val	R_Test_Seen	R_Test_Unseen	F1_Train	F1_Val	F1_Test_Seen	F1_Test_Unseen	AUC_Train	AUC_Val	AUC_Test_Seen	AUC_Test_Unseen	MCC_Train	MCC_Val	MCC_Test_Seen	MCC_Test_Unseen
1	1	[0.5506507446665773, 0.6368760064412239, 0.6682769726247987, 0.5970116457921336, 0.557968476357268, 0.584771573604061, 0.6128691983122363, 0.5234734581159864, 0.5603728783748131, 0.9320388349514563, 0.9281150159744409, 0.8585807750377453, 0.5591680926681585, 0.7186525265127884, 0.7382465057179162, 0.6504003049942814, 0.5668407796393005, 0.7700683553232097, 0.8016213020206631, 0.7477600110546949, 0.10097116621759877, 0.3413803454253493, 0.3909100262431032, 0.2781699637002767]
2	2	[0.6534728744577127, 0.7069243156199678, 0.7326892109500805, 0.7035816304108987, 0.6586391102548385, 0.663659793814433, 0.6981132075471698, 0.6427931960608774, 0.6614194002286519, 0.8333333333333334, 0.8274760383386581, 0.7226975339708103, 0.6600263273365511, 0.7388809182209469, 0.7573099415204678, 0.6804074863776356, 0.7135899359130099, 0.7958675628578541, 0.8255959296294759, 0.772172789276946, 0.3066941550396574, 0.4286253846003657, 0.47288818272225736, 0.4082125300934656]
3	3	[0.6882687061138691, 0.717391304347826, 0.7318840579710145, 0.7172050098879367, 0.6920659858601729, 0.6754270696452037, 0.7004103967168263, 0.6633986928104575, 0.697300149503122, 0.8317152103559871, 0.8178913738019169, 0.7151484650226472, 0.6946732083406344, 0.745467730239304, 0.7546057479734709, 0.6883022523613466, 0.7541475999416958, 0.804876151356734, 0.832465457864819, 0.7877946119354589, 0.3762833502654712, 0.44739433248735033, 0.46978571886184917, 0.4311880519221526]
4	4	[0.7094682230869002, 0.7206119162640902, 0.7520128824476651, 0.7187431333772797, 0.7112401421267007, 0.6818791946308724, 0.7184065934065934, 0.6640371229698376, 0.7217483070970011, 0.8220064724919094, 0.8354632587859425, 0.7201811776547559, 0.7164556962025317, 0.7454145267791636, 0.7725258493353029, 0.6909705456301304, 0.7805148168609967, 0.813462057090698, 0.8359637566905938, 0.7957615687616936, 0.418663525942849, 0.45128171989781657, 0.5102865815413318, 0.43488703513916604]
5	5	[0.7153718860414151, 0.7278582930756844, 0.7592592592592593, 0.7334651724895628, 0.7165844796262653, 0.7089552238805971, 0.7566718995290423, 0.7001034126163392, 0.7284319760795005, 0.7686084142394822, 0.7699680511182109, 0.6814292903875189, 0.7224596598342783, 0.7375776397515528, 0.7632620744259698, 0.690640142820709, 0.7904579157787661, 0.8188661729317069, 0.8397965852039335, 0.7989225205646373, 0.4304735105379776, 0.457529604912191, 0.5184999992771733, 0.45671935128162106]
6	6	[0.7192182119057203, 0.7278582930756844, 0.7584541062801933, 0.7226983080641617, 0.7214155290844274, 0.6861702127659575, 0.7251381215469613, 0.665903890160183, 0.7296631782604872, 0.8349514563106796, 0.8386581469648562, 0.7322596879718168, 0.7255159146554739, 0.7532846715328466, 0.7777777777777777, 0.6975071907957814, 0.7960681605731208, 0.8254527632561612, 0.8427451143106095, 0.8037752410951998, 0.43818931077188483, 0.4672557309024929, 0.5228311922000082, 0.4442881853718968]
7	7	[0.7291918243213024, 0.7246376811594203, 0.7544283413848631, 0.7161063502526918, 0.7310500695410292, 0.6811023622047244, 0.7226074895977809, 0.6553419758605274, 0.7396007387213086, 0.8398058252427184, 0.8322683706070287, 0.7377956718671363, 0.7353005464480873, 0.7521739130434784, 0.7735708982925018, 0.6941287878787878, 0.8084241498876765, 0.8220090656377065, 0.8443736774407702, 0.8015048281850751, 0.45814667322880054, 0.4624557405156062, 0.5142883568246804, 0.43362844749006696]
8	8	[0.7334406726597791, 0.7359098228663447, 0.7568438003220612, 0.7292902658756317, 0.7348728188210782, 0.7384868421052632, 0.7718120805369127, 0.729483282674772, 0.7444376044323279, 0.7265372168284789, 0.7348242811501597, 0.6039255158530448, 0.7396242900830058, 0.732463295269168, 0.7528641571194762, 0.6607929515418502, 0.8110104492114374, 0.82780215334827, 0.8458155263267084, 0.8051036887977783, 0.4666448129093032, 0.47182741605819123, 0.5144454423919145, 0.4442912278653003]
9	9	[0.7349613131177601, 0.7407407407407407, 0.7584541062801933, 0.7325862447813667, 0.738168139270405, 0.717008797653959, 0.746969696969697, 0.6998961578400831, 0.742063143083282, 0.7912621359223301, 0.7875399361022364, 0.6784096628082537, 0.7401105166213491, 0.7523076923076922, 0.7667185069984448, 0.6889854331714796, 0.8134867117211069, 0.8303382499377645, 0.8451672129787147, 0.8060259274991031, 0.4697250493710842, 0.48430379581985694, 0.5174407228361997, 0.4547207736731117]
10	10	[0.7387181895433607, 0.7302737520128825, 0.7536231884057971, 0.7299494616567788, 0.740747191500479, 0.6935704514363885, 0.7285714285714285, 0.6829150579150579, 0.7480432679623604, 0.8203883495145631, 0.8146964856230032, 0.712128837443382, 0.7443773518858843, 0.7516679021497406, 0.7692307692307692, 0.6972160630697216, 0.8188652457248475, 0.8286267737117251, 0.8441765901829801, 0.8053718122554797, 0.47721722863270627, 0.4688221826817371, 0.5103852589024361, 0.45402892947614937]
11	11	[0.7416252963012657, 0.7326892109500805, 0.7640901771336553, 0.7308283893649747, 0.7440237305880301, 0.7313915857605178, 0.7817258883248731, 0.7249114521841794, 0.7499780142467681, 0.7313915857605178, 0.7380191693290735, 0.6180171112229492, 0.7469890071387904, 0.7313915857605178, 0.7592440427280198, 0.667209997283347, 0.8232618161138172, 0.8306027508090614, 0.8483387618771004, 0.8058839162826704, 0.48304283500307726, 0.46536594473487675, 0.5292043338048524, 0.44761157919612254]
12	12	[0.7463213918332663, 0.7334943639291466, 0.7544283413848631, 0.7321467809272687, 0.7484090314706652, 0.7224806201550388, 0.7535545023696683, 0.7145251396648045, 0.7549907659836426, 0.7540453074433657, 0.7619808306709265, 0.6436839456467036, 0.7516854916382103, 0.7379255740300872, 0.7577442414614773, 0.6772570823404819, 0.8259946044224356, 0.8285282341714382, 0.8487225633791129, 0.8043460339319461, 0.49243579218768246, 0.4675301675144937, 0.5088125925409245, 0.4511890674340041]
13	13	[0.7462319423945615, 0.7407407407407407, 0.7584541062801933, 0.7312678532190727, 0.7487121278267703, 0.7276923076923076, 0.7570977917981072, 0.7110497237569061, 0.7541113358543664, 0.7653721682847896, 0.7667731629392971, 0.6477101157523906, 0.7514020329477742, 0.7460567823343849, 0.7619047619047619, 0.677903608111667, 0.8262614908175105, 0.831453302630487, 0.848712190365545, 0.8056738927835926, 0.4922643582344888, 0.4822388174984783, 0.5168696788820429, 0.4496606102881814]
14	14	[0.7508385884878572, 0.7286634460547504, 0.7648953301127214, 0.7268732146780927, 0.7529658060013956, 0.6987270155586988, 0.7434402332361516, 0.6807580174927114, 0.7591240875912408, 0.7993527508090615, 0.8146964856230032, 0.7050830397584298, 0.756032406393694, 0.7456603773584906, 0.7774390243902439, 0.6927070457354758, 0.832222987432793, 0.8279499626587006, 0.8494590473424339, 0.8072798855587843, 0.5014772207598639, 0.4624573305272054, 0.5318866959148336, 0.4472685617432769]
15	15	[0.7498993693814572, 0.7367149758454107, 0.7640901771336553, 0.7310481212920237, 0.7514139041155486, 0.7512953367875648, 0.7978533094812165, 0.7425301970756516, 0.7594758596429514, 0.7038834951456311, 0.7124600638977636, 0.587820835430297, 0.7554233729881036, 0.7268170426065164, 0.7527426160337553, 0.6561797752808989, 0.8335398196006119, 0.8292620944319975, 0.8517592631011162, 0.8068280406103008, 0.49958812696567884, 0.47419451754704606, 0.5316577281535382, 0.44829390481703985]
16	16	[0.7532537233328861, 0.7367149758454107, 0.7608695652173914, 0.7303889255108768, 0.7552764695621839, 0.747870528109029, 0.7911504424778761, 0.736612702366127, 0.7615864919532143, 0.7103559870550162, 0.7140575079872205, 0.5953699043784599, 0.7584183561763804, 0.728630705394191, 0.7506297229219143, 0.6585026440300583, 0.8345730379528045, 0.8323453447846653, 0.8529547529148169, 0.8085961636754347, 0.5063090131058735, 0.4738817670197041, 0.524619565297116, 0.4466918526244793]
17	17	[0.7544612907554005, 0.7407407407407407, 0.7576489533011272, 0.7306086574379257, 0.7572390866940775, 0.7334384858044164, 0.7625201938610663, 0.7103372028745163, 0.7612347199015038, 0.7524271844660194, 0.7539936102236422, 0.6467035732259688, 0.7592316463468117, 0.7428115015974441, 0.7582329317269076, 0.6770284510010537, 0.8369476313604337, 0.8310358061571654, 0.8514039873864157, 0.8080553040943983, 0.5087406016484776, 0.48169378967806303, 0.5153432144151605, 0.4482875019417331]
18	18	[0.7562055548101436, 0.7342995169082126, 0.7648953301127214, 0.7347835640518567, 0.7589676290463692, 0.7416107382550335, 0.7879310344827586, 0.7363636363636363, 0.7629056371471287, 0.7152103559870551, 0.7300319488817891, 0.6114745848012079, 0.7609315380904347, 0.728171334431631, 0.7578772802653398, 0.6681330767115755, 0.8376749980319269, 0.8304627209360219, 0.8509735073233475, 0.8067866247614173, 0.5122310285113092, 0.4687900512461727, 0.5314990942843928, 0.45581153851663236]
19	19	[0.7575920211100675, 0.7391304347826086, 0.7624798711755234, 0.7321467809272687, 0.7598916935976942, 0.7615658362989324, 0.7950089126559715, 0.7519685039370079, 0.7651042124703192, 0.6925566343042071, 0.7124600638977636, 0.5767488676396578, 0.7624890446976337, 0.7254237288135593, 0.7514743049705139, 0.6528054685274851, 0.8408612995262508, 0.8310682204796283, 0.8519978424131779, 0.8066687564331966, 0.5149963068806458, 0.47997865045767724, 0.5282260139725566, 0.4511732845127937]
20	20	[0.7555794087392101, 0.7391304347826086, 0.7608695652173914, 0.7270929466051417, 0.7566041014946124, 0.7070422535211267, 0.7401459854014598, 0.676623992413466, 0.7657198135608126, 0.8122977346278317, 0.8099041533546326, 0.7181680926019124, 0.7611346649766162, 0.7560240963855421, 0.7734553775743707, 0.6967773437499999, 0.8388191295869909, 0.8320367604348187, 0.8529288203808971, 0.8080583464908804, 0.5109510474306337, 0.4839547734539448, 0.5237149137763787, 0.4497340061661185]
21	21	[0.759738807638982, 0.7206119162640902, 0.7624798711755234, 0.7224785761371127, 0.7627222562844881, 0.6766623207301173, 0.7301808066759388, 0.6629162916291629, 0.7658077565737402, 0.8398058252427184, 0.8386581469648562, 0.7413185707096125, 0.7642618922239777, 0.7494584837545127, 0.7806691449814126, 0.699928724162509, 0.8428924285675914, 0.8339842129283876, 0.852098979295465, 0.8059265098334181, 0.5193070865754232, 0.45512180343829356, 0.5303516789292222, 0.4456951510183384]
22	22	[0.7616172458517823, 0.7415458937198067, 0.7632850241545893, 0.7295099978026808, 0.7626293365794279, 0.7470881863560732, 0.7862068965517242, 0.7210526315789474, 0.7713481663881805, 0.7265372168284789, 0.7284345047923323, 0.6205334675390035, 0.7669639734172788, 0.7366694011484823, 0.7562189054726369, 0.6670273194482013, 0.8446163013051197, 0.8333800099576798, 0.8537171694120576, 0.8047712824466678, 0.5230349140731664, 0.4831924946311915, 0.5282713354263135, 0.44494884176624516]
23	23	[0.7604544031486202, 0.7455716586151369, 0.7544283413848631, 0.7297297297297297, 0.7629623152924718, 0.7280966767371602, 0.7480680061823802, 0.6966233766233766, 0.7673907308064374, 0.7799352750809061, 0.7731629392971247, 0.6748867639657775, 0.76517011574886, 0.753125, 0.7604084838963079, 0.6855828220858895, 0.8455917500297812, 0.8358253464442786, 0.8529443799012488, 0.8087302254042854, 0.5207287883902325, 0.49254266493779836, 0.508982365207615, 0.44886633374627805]
24	24	[0.7596940829196297, 0.7334943639291466, 0.7600644122383253, 0.7303889255108768, 0.762242042672263, 0.7585585585585586, 0.7907801418439716, 0.7311435523114356, 0.7665992436900888, 0.6812297734627831, 0.7124600638977636, 0.6049320583794665, 0.7644144341649493, 0.7178175618073316, 0.7495798319327732, 0.6620765629303222, 0.8438187034779622, 0.8331647788565264, 0.8541865482760053, 0.8081249847880175, 0.5192079858402117, 0.46913783329130715, 0.5230929101913535, 0.44659718492002537]
25	25	[0.7627800885549443, 0.7359098228663447, 0.7592592592592593, 0.7345638321248077, 0.7672922724469117, 0.7294303797468354, 0.7616, 0.7088471849865952, 0.7658077565737402, 0.7459546925566343, 0.7603833865814696, 0.665324609964771, 0.766549295774648, 0.7375999999999999, 0.7609912070343726, 0.6863966770508827, 0.8481758843931309, 0.8341086839266451, 0.8556335836687274, 0.8108547995669197, 0.5254379448319499, 0.4719847758143496, 0.518494219092641, 0.4573903480126163]
